source_id	url	filename	expected_kind
hodson_naga_manipur_1911	https://upload.wikimedia.org/wikipedia/commons/7/79/The_Naga_tribes_of_Manipur_%28IA_nagatribesofmani00hods%29.pdf	1911_Hodson_The_Naga_Tribes_of_Manipur.pdf	PDF
gurdon_khasis_1914	https://upload.wikimedia.org/wikipedia/commons/5/5d/The_Khasis_%281914%29.pdf	1914_Gurdon_The_Khasis_2nd_ed.pdf	PDF
shakespear_lushei_kuki_1912	https://upload.wikimedia.org/wikipedia/commons/2/2a/The_Lushei_Kuki_clans_%28IA_lusheikukiclans00shak%29.pdf	1912_Shakespear_The_Lushei_Kuki_Clans.pdf	PDF
hutton_angami_1921	https://archive.org/download/angaminagaswiths00huttuoft/angaminagaswiths00huttuoft.pdf	1921_Hutton_The_Angami_Nagas.pdf	PDF
hutton_sema_1921	https://archive.org/download/semanagas00hutt/semanagas00hutt.pdf	1921_Hutton_The_Sema_Nagas.pdf	PDF
mills_lhota_1922	https://archive.org/download/cu31924024053534/cu31924024053534.pdf	1922_Mills_The_Lhota_Nagas.pdf	PDF
mills_ao_1926	https://archive.org/download/in.ernet.dli.2015.127260/2015.127260.The-Ao-Nagas_text.pdf	1926_Mills_The_Ao_Nagas.pdf	PDF
roy_mundas_country	https://dspace.gipe.ac.in/xmlui/bitstream/handle/10973/388/6-000317-Mundas_and_their_country.pdf?isAllowed=y&sequence=2	Roy_The_Mundas_and_Their_Country.pdf	PDF
schroder_nias_1917	https://archive.org/download/niasethnographis2191schr/niasethnographis2191schr.pdf	1917_Schroder_Nias_Ethnographische_geographische_historische_Aanteekeningen_Studien.pdf	PDF
bodding_santal_folk_tales_v1_1925	https://upload.wikimedia.org/wikipedia/commons/5/58/Santal_Folk_Tales_Vol._1.pdf	1925_Bodding_Santal_Folk_Tales_Vol1.pdf	PDF
elwin_myths_ne_frontier_1958	https://dspace.nehu.ac.in/server/api/core/bitstreams/9077d4d3-3fcc-4e0e-8965-78fdbd93f09e/content	1958_Elwin_Myths_of_the_North-East_Frontier_of_India.pdf	PDF
warneck_batak_1909	https://books.google.com/books/download/Die_Religion_der_Batak.pdf?id=GAmgAAAAMAAJ&output=pdf&sig=ACfU3U2cPbcu5yfoBmrxEVxqNWtw_jXDNA	1909_Warneck_Die_Religion_der_Batak.pdf	PDF
baree_vol3_1914	https://books.google.com/books/download/De_Bare_e_sprekende_Toradjas_van_Midden_Celebes.pdf?id=4ONWAAAAYAAJ&output=pdf	1914_Adriani_Kruyt_De_Baree_sprekende_Toradjas_Vol3.pdf	PDF
elwin_myths_middle_1949	https://archive.org/download/mythsofmiddleind0000verr_w4k1/mythsofmiddleind0000verr_w4k1.pdf	1949_Elwin_Myths_of_Middle_India.pdf	PDF
elwin_tribal_myths_orissa_1954	https://archive.org/download/in.gov.ignca.2054/in.gov.ignca.2054.pdf	1954_Elwin_Tribal_Myths_of_Orissa.pdf	PDF
elwin_religion_indian_tribe_1955	https://books.google.com/books/download/The_Religion_of_an_Indian_Tribe.pdf?id=oxwFAAAAMAAJ&output=pdf	1955_Elwin_The_Religion_of_an_Indian_Tribe.pdf	PDF
scharer_ngaju_religion_1963	https://link.springer.com/content/pdf/10.1007/978-94-011-9346-7.pdf	1963_Scharer_Ngaju_Religion.pdf	PDF
